authorname,count
José Manuel Aburto,51
Melinda Mills,51
Jennifer B. Dowd,43
Ridhi Kashyap,28
Andrea M. Tilstra,20
Valentina Rotondi,18
Charles Rahal,14
John Ermisch,13
Per Engzell,13
Mark D. Verhagen,13
Douglas R. Leasure,12
Evelina T. Akimova,12
Francesco Rampazzo,11
David M. Brazel,11
Emilio Zagheni,10
Xuejie Ding,10
Alyson van Raalte,10
Antonino Polizzi,9
Per Block,9
Ilya Kashnitsky,9
Jiaxin Shi,9
Richard Breen,9
Ingmar Weber,9
Felix C. Tropf,9
Vladimir Canudas‐Romo,8
Jonas Schöley,7
David S. Kirk,7
Iñaki Permanyer,7
Leo Azzollini,7
Arun Frey,7
Harold Snieder,7
Emanuele Del Fava,6
André Grow,6
Andrew J. Tatem,6
Daniela Perrotta,6
Christiaan Monden,6
Pekka Martikainen,6
Ryohei Mogi,6
Ugofilippo Basellini,6
George Davey Smith,5
George B. Ploubidis,5
Jorge Cimentada,5
Liliana Andriano,5
Saul Newman,5
Casey Breen,5
Archie Campbell,5
Laura Gimeno,4
Serena Vigezzi,4
Dorret I. Boomsma,4
Martin Kolk,4
Allison E. Aiello,4
Édith Darin,4
Francesco C. Billari,4
Sander Wagner,4
Tobias Rüttenauer,4
Amanda M. Simanek,4
Luyin Zhang,4
Lawrence F. Bielak,4
Nicole Kapelle,4
Penelope A. Lind,4
Xinyi Zhao,4
Eco J. C. de Geus,4
James W. Vaupel,4
Sarah E. Medland,4
Francisco Villavicencio,4
Caroline Hayward,4
Bo Zhao,4
Renske Verweij,4
Jennifer A. Smith,4
Joshua Wilde,4
W. David Hill,4
Patricia A. Peyser,4
Tim Riffe,4
Diego Alburez‐Gutierrez,4
Enrique Acosta,4
Patrik K. E. Magnusson,4
Rebecca C. Stebbins,4
Virginia Zarulli,4
Grace A. Noppert,4
Nicola Barban,4
Gert Stulp,4
Sofía Gil‐Clavel,4
Nicholas G. Martin,4
Bastian Andreas Betthäuser,4
Yongkang Kim,3
Kuang Lin,3
Liming Li,3
Antti Latvala,3
Hyeokmoon Kweon,3
Alexandra Havdahl,3
Malia Jones,3
Shona M. Kerr,3
Lindsey Leininger,3
K. Paige Harden,3
Luca Maria Pesando,3
Alison M. Buttenheim,3
Sandra S. Albrecht,3
Tuomo Kiiskinen,3
Matthew C. Keller,3
Debbie A. Lawlor,3
Nancy L. Pedersen,3
Luke M. Evans,3
Aparna Kumar,3
David J. Porteous,3
Jared V. Balbona,3
Karri Silventoinen,3
John R. B. Perry,3
Melissa C. Southey,3
Travis T. Mallard,3
Elliot M. Tucker‐Drob,3
Margaret J. Wright,3
Deepika Dokuru,3
Benjamin W. Domingue,3
Agnese Vitali,3
Christina C. Dahm,3
Jaakko Kaprio,3
Jasmin Abdel Ghany,3
James F. Wilson,3
Zhengming Chen,3
Paraskevi Christofidou,3
Kaare Christensen,3
Lasse Tarkiainen,3
Sara Hägg,3
Michael C. Stallings,3
Tim D. Spector,3
John L. Hopper,3
Jean‐Baptiste Pingault,3
Robert Plomin,3
Meike Bartels,3
Chandra A. Reynolds,3
Anne E. Justice,3
Iona Y. Millwood,3
Marianne Nygaard,3
Klint Kanopka,3
Kristian Hveem,3
Øyvind Næss,3
Cristen J. Willer,3
Bjørn Olav Åsvold,3
Scott M. Ratliff,3
Philipp Koellinger,3
John K. Hewitt,3
Julia M. Rohrer,3
Marília R. Nepomuceno,3
Shuai Li,3
Maxi S. Kniffka,3
Rosa Cheesman,3
Massimo Mangino,3
Daniel J. Benjamin,3
Lucija Klarić,3
Ken K. Ong,3
David M. Evans,3
Masoomali Fatehkia,3
Ben Brumpton,3
Gibran Hemani,3
Neil M Davies,3
Benjamin Elbers,3
Oriol J. Bosch,3
Marcel den Hoed,3
Christoph Stadtfeld,3
Sudheer Giddaluru,3
Laurence J Howe,3
Ryan K. Masters,3
Marion Hoffman,3
Kate Coleman‐Minahan,3
Ginevra Floridi,3
Yunzhang Wang,3
Audrey Renson,3
Andrea Ganna,3
Iliya Gutin,3
Pamela Herd,3
Teemu Palviainen,3
Scott D. Gordon,3
Thor Berger,3
Marius D. Pascariu,3
Colin Angus,3
Robin Walters,3
Matthijs D. van der Zee,3
Vincent J. Straub,3
Michel G. Nivard,3
Romola Davenport,3
Nhat An Trinh,3
Tim Morris,3
Julia A. Behrman,3
Robert T. Furbank,3
Per Magnus,3
René D. Flores,3
Patrick Turley,3
Kayla Schulte,3
Ailin Falkmo Hansen,3
Humaira Rasheed,3
Yoonsu Cho,3
Geetha Chittoor,3
Iain Mathieson,3
Felix R. Day,3
Ahmad Vaez,3
Sharon L. R. Kardia,3
Natalie R. van Zuydam,3
Hannaliis Jaadla,3
Cornelius A. Rietveld,2
Rachael Piltch‐Loeb,2
Andrea Gelemanović,2
Tove Fall,2
Stefano Lombardi,2
Lewis Robert Anderson,2
Pekka Vartiainen,2
Maria Gargiulo,2
Sakari Jukarainen,2
Aoxing Liu,2
Jonathan Bright,2
Annette Baudisch,2
Mika Gissler,2
Tobias Wolfram,2
Pablo Geraldo,2
Cosmo Strozza,2
Jiani Yan,2
Aki S. Havulinna,2
Christopher R. Bauer,2
Aashish Gupta,2
Tom A. B. Snijders,2
Gianluca Boo,2
Claire Dooley,2
Zachary Van Winkle,2
Risto Conte Keivabu,2
Ekaterina Degtiareva,2
Christian Dudel,2
Brian Nolan,2
Attila N. Lázár,2
Beatriz Sofía Gil-Clavel,2
Ursula Gazeley,2
Julio Romero Prieto,2
Diana O. Perkins,2
Georges Reniers,2
Lauren Gaydosh,2
Martina K. Narayanan,2
Riley Taiji,2
Heather Chamberlain,2
Darío Moreno‐Agostino,2
Carina Mood,2
Véronique Filippi,2
Charis Bridger Staatz,2
Nikkil Sudharsanan,2
Jesús-Daniel Zazueta-Borboa,2
Kanika Sharma,2
Alice Goisis,2
Peter J. van der Most,2
Vanessa Moulton,2
Paola Vázquez-Castillo,2
Aliakbar Akbaritabar,2
Dennis M. Feehan,2
Sophie Lohmann,2
Ilana Ventura,2
Bettina Moltrecht,2
Martí Rovira,2
Nicole Angotti,2
Lawrence King,2
Anette Eva Fasang,2
Jeroen Spijker,2
Ester Lazzari,2
Jessica Nisén,2
Charles C. Lanfear,2
Brian Houle,2
Chodziwadziwa Kabudula,2
Sanyu A. Mojola,2
Emanuela Struffolino,2
Ramina Sotoudeh,2
Alain Gagnon,2
Elias Nosrati,2
Setsuya Fukuda,2
Xingqiang Lü,2
Cássio M. Turra,2
Heidi E. Jones,2
Levi Waldron,2
Andrea Nigri,2
Marie-Pier Bergeron-Boucher,2
Bárbara Domingues Bitarello,2
Robert A. Hummer,2
Lora J. Kasselman,2
Rafael Ahlskog,2
Michael Marmot,2
David Salisbury,2
