display_name,display_name,total_score
"Partnerships for
the goals","Partnerships for
the goals",2.27
"Sustainable cities
and communities","Sustainable cities
and communities",2.76
Climate action,Climate action,2.9299999999999997
Life on land,Life on land,3.14
"Quality
education","Quality
education",4.09
Zero hunger,Zero hunger,4.99
"Peace, justice, and
strong institutions	","Peace, justice, and
strong institutions	",5.02
"Decent work and
economic growth","Decent work and
economic growth",7.8999999999999995
Reduced inequalities,Reduced inequalities,14.559999999999999
Gender equality,Gender equality,20.119999999999997
No poverty,No poverty,29.980000000000004
"Good health
and well-being","Good health
and well-being",54.740000000000016
